Source,Law or Act,"Section, Subsection(s)",Link,Description,Notes
State,Social Services Law,§372,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$SOS372$$@TXSOS0372+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,"Abandoned, delinquent destitute, neglected or dependent children",
State,Domestic Relations Law,§114,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$DOM114$$@TXDOM0114+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Adoption,
State,Social Services Law,§369,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$SOS369$$@TXSOS0369+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Applicants for and recipients of medical assistance,
State,Social Services Law,§136,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$SOS136$$@TXSOS0136+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Applicants for or recipients of public assistance,
State,Public Housing Law,§159,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBG159$$@TXPBG0159+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Applicants for or tenants in public housing,
State,Criminal Procedure Law,§160.50,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CPL160.50$$@TXCPL0160.50+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Arrest records about people whose charges have been dismissed,
State,Civil Practice Law and Rules,§3101(c),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVP3101$$@TXCVP03101+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Attorney work product,
State,Civil Practice Law and Rules,§4503,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVP4503$$@TXCVP04503+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Attorney-client privilege,
State,County Law,§677(3)(b),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CNT677$$@TXCNT0677+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Autopsy reports,
State,Banking Law,§36(1),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$BNK36$$@TXBNK036+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Bank investigations,
